root@el6-test /etc/condor # condor_status 
Name               OpSys      Arch   State     Activity LoadAv Mem   ActvtyTime

slot1@fermicloud31 LINUX      X86_64 Unclaimed Idle      0.000   58  0+00:19:37
slot2@fermicloud31 LINUX      X86_64 Unclaimed Idle      0.000   58  0+00:20:05
slot3@fermicloud31 LINUX      X86_64 Unclaimed Idle      0.000   58  0+00:20:06
slot4@fermicloud31 LINUX      X86_64 Unclaimed Idle      0.000   58  0+00:20:07
slot5@fermicloud31 LINUX      X86_64 Unclaimed Idle      0.000   58  0+00:20:08
slot6@fermicloud31 LINUX      X86_64 Unclaimed Idle      0.000   58  0+00:20:09
slot7@fermicloud31 LINUX      X86_64 Unclaimed Idle      0.000   58  0+00:20:10
slot8@fermicloud31 LINUX      X86_64 Unclaimed Idle      0.000   58  0+00:20:03
slot9@fermicloud31 LINUX      X86_64 Unclaimed Idle      0.000   58  0+00:20:04
slot10@fermicloud3 LINUX      X86_64 Unclaimed Idle      0.000   58  0+00:20:05
slot11@fermicloud3 LINUX      X86_64 Unclaimed Idle      0.000   58  0+00:20:06
slot12@fermicloud3 LINUX      X86_64 Unclaimed Idle      0.000   58  0+00:20:07
slot13@fermicloud3 LINUX      X86_64 Unclaimed Idle      0.000   58  0+00:20:08
slot14@fermicloud3 LINUX      X86_64 Unclaimed Idle      0.000   58  0+00:20:09
slot15@fermicloud3 LINUX      X86_64 Unclaimed Idle      0.000   58  0+00:20:10
slot16@fermicloud3 LINUX      X86_64 Unclaimed Idle      0.000   58  0+00:20:03
slot17@fermicloud3 LINUX      X86_64 Unclaimed Idle      0.000   58  0+00:20:04
slot18@fermicloud3 LINUX      X86_64 Unclaimed Idle      0.000   58  0+00:20:05
slot19@fermicloud3 LINUX      X86_64 Unclaimed Idle      0.000   58  0+00:20:06
slot20@fermicloud3 LINUX      X86_64 Unclaimed Idle      0.000   58  0+00:20:07
slot21@fermicloud3 LINUX      X86_64 Unclaimed Idle      0.000   58  0+00:20:08
slot22@fermicloud3 LINUX      X86_64 Unclaimed Idle      0.000   58  0+00:20:09
slot23@fermicloud3 LINUX      X86_64 Unclaimed Idle      0.000   58  0+00:20:10
slot24@fermicloud3 LINUX      X86_64 Unclaimed Idle      0.000   58  0+00:20:03
slot25@fermicloud3 LINUX      X86_64 Unclaimed Idle      0.000   58  0+00:20:04
slot26@fermicloud3 LINUX      X86_64 Unclaimed Idle      0.000   58  0+00:20:05
slot27@fermicloud3 LINUX      X86_64 Unclaimed Idle      0.000   58  0+00:20:06
slot28@fermicloud3 LINUX      X86_64 Unclaimed Idle      0.000   58  0+00:20:07
slot29@fermicloud3 LINUX      X86_64 Unclaimed Idle      0.000   58  0+00:20:08
slot30@fermicloud3 LINUX      X86_64 Unclaimed Idle      0.000   58  0+00:20:09
slot31@fermicloud3 LINUX      X86_64 Unclaimed Idle      0.000   58  0+00:20:10
slot32@fermicloud3 LINUX      X86_64 Unclaimed Idle      0.000   58  0+00:20:03
                     Machines Owner Claimed Unclaimed Matched Preempting

        X86_64/LINUX       32     0       0        32       0          0

               Total       32     0       0        32       0          0

root@el6-test /etc/condor # condor_status -nat:off
Name               OpSys      Arch   State     Activity LoadAv Mem   ActvtyTime

slot10@fermicloud3 LINUX      X86_64 Unclaimed Idle      0.000   58  0+00:20:05
slot11@fermicloud3 LINUX      X86_64 Unclaimed Idle      0.000   58  0+00:20:06
slot12@fermicloud3 LINUX      X86_64 Unclaimed Idle      0.000   58  0+00:20:07
slot13@fermicloud3 LINUX      X86_64 Unclaimed Idle      0.000   58  0+00:20:08
slot14@fermicloud3 LINUX      X86_64 Unclaimed Idle      0.000   58  0+00:20:09
slot15@fermicloud3 LINUX      X86_64 Unclaimed Idle      0.000   58  0+00:20:10
slot16@fermicloud3 LINUX      X86_64 Unclaimed Idle      0.000   58  0+00:20:03
slot17@fermicloud3 LINUX      X86_64 Unclaimed Idle      0.000   58  0+00:20:04
slot18@fermicloud3 LINUX      X86_64 Unclaimed Idle      0.000   58  0+00:20:05
slot19@fermicloud3 LINUX      X86_64 Unclaimed Idle      0.000   58  0+00:20:06
slot1@fermicloud31 LINUX      X86_64 Unclaimed Idle      0.000   58  0+00:19:37
slot20@fermicloud3 LINUX      X86_64 Unclaimed Idle      0.000   58  0+00:20:07
slot21@fermicloud3 LINUX      X86_64 Unclaimed Idle      0.000   58  0+00:20:08
slot22@fermicloud3 LINUX      X86_64 Unclaimed Idle      0.000   58  0+00:20:09
slot23@fermicloud3 LINUX      X86_64 Unclaimed Idle      0.000   58  0+00:20:10
slot24@fermicloud3 LINUX      X86_64 Unclaimed Idle      0.000   58  0+00:20:03
slot25@fermicloud3 LINUX      X86_64 Unclaimed Idle      0.000   58  0+00:20:04
slot26@fermicloud3 LINUX      X86_64 Unclaimed Idle      0.000   58  0+00:20:05
slot27@fermicloud3 LINUX      X86_64 Unclaimed Idle      0.000   58  0+00:20:06
slot28@fermicloud3 LINUX      X86_64 Unclaimed Idle      0.000   58  0+00:20:07
slot29@fermicloud3 LINUX      X86_64 Unclaimed Idle      0.000   58  0+00:20:08
slot2@fermicloud31 LINUX      X86_64 Unclaimed Idle      0.000   58  0+00:20:05
slot30@fermicloud3 LINUX      X86_64 Unclaimed Idle      0.000   58  0+00:20:09
slot31@fermicloud3 LINUX      X86_64 Unclaimed Idle      0.000   58  0+00:20:10
slot32@fermicloud3 LINUX      X86_64 Unclaimed Idle      0.000   58  0+00:20:03
slot3@fermicloud31 LINUX      X86_64 Unclaimed Idle      0.000   58  0+00:20:06
slot4@fermicloud31 LINUX      X86_64 Unclaimed Idle      0.000   58  0+00:20:07
slot5@fermicloud31 LINUX      X86_64 Unclaimed Idle      0.000   58  0+00:20:08
slot6@fermicloud31 LINUX      X86_64 Unclaimed Idle      0.000   58  0+00:20:09
slot7@fermicloud31 LINUX      X86_64 Unclaimed Idle      0.000   58  0+00:20:10
slot8@fermicloud31 LINUX      X86_64 Unclaimed Idle      0.000   58  0+00:20:03
